station_name,station_latitude,station_longitude
"Little Brook Green, Brook Green",51.4968372,-0.2237767
"Columbia Road, Shoreditch",51.527853,-0.08341
"Harrington Square 1, Camden Town",51.5330236,-0.1391613
"Austin Road, Battersea Park",51.4743593,-0.1554307
"Arlington Road, Camden Town",51.53541188,-0.1411237315
"Thorndike Close, West Chelsea",51.486925,-0.167411
"Smith Square, Westminster",51.4959955,-0.1270542515
"Tavistock Place, Bloomsbury",51.52637551,-0.1227862428
"Sirdar Road, Avondale",51.592925,-0.097607
"Triangle Car Park, Hyde Park",53.681617,-1.48278
"New Road 1 , Whitechapel",51.518128,-0.0625664
"Cheshire Street, Bethnal Green",51.52364637,-0.06862364113
"Cadogan Gardens, Chelsea",51.49296364,-0.1594484627
"Concert Hall Approach 2, South Bank",51.5048858,-0.1153724
"Shepherd's Bush Road North, Shepherd's Bush",51.5015492,-0.2222422
"Kennington Road  , Vauxhall",51.49077157,-0.111091061
"Westfield Library Corner, Shepherd's Bush",51.506103,-0.22419
"Wren Street, Holborn",51.5253578,-0.1154411967
"Sidney Road, Stockwell",51.46982644,-0.117969019
"Monier Road, Hackney Wick",51.539518,-0.02335
"Aston Street, Stepney",51.51710252,-0.03844262907
"Bath Street, St. Luke's",51.52628127,-0.09101932337
"Waterloo Road, South Bank",51.50281012,-0.1105996045
"Globe Town Market, Bethnal Green",51.5288989,-0.0475751
"Battersea Power Station, Battersea Park",51.4796154,-0.1429709
"Aberdeen Place, St. John's Wood",51.52544779,-0.1752383668
"Nesham Street, Wapping",51.5074344,-0.06728717466
"Blackfriars Road, Southwark",51.50003734,-0.1046424246
"Grove End Road, St. John's Wood",51.53355668,-0.1758647872
"Durant Street, Bethnal Green",51.52931729,-0.0662254682
"Bayswater Road, Hyde Park",51.5128511,-0.1634759
"Tower Gardens , Tower",51.5095303,-0.075386
"Bruton Street, Mayfair",51.51052051,-0.1446798227
"Calshot Street , King's Cross",51.536114,-0.12527
"Ampton Street , Clerkenwell",51.52301,-0.109478
"Finnis Street, Bethnal Green",51.52510589,-0.05870777748
"Saunders Ness Road, Cubitt Town",51.48774301,-0.006903012923
"Crisp Road, Hammersmith",51.48808564,-0.2265987569
"Finlay Street, Fulham",51.47569692,-0.2180822966
"Tooley Street, Bermondsey",51.50117839,-0.07552906616
"Clements Road, Bermondsey",51.49511091,-0.06400817703
"Battersea Church Road, Battersea",51.47797801,-0.1728538453
"Gloucester Road (North), Kensington",51.4979729,-0.1838335
"Fire Brigade Pier, Vauxhall",51.50334595,-0.0986142465
"Phillimore Gardens, Kensington",51.50206548,-0.1998193568
"Chrisp Street Market, Poplar",51.5123768,-0.01480266024
"Haggerston Road, Haggerston",51.53903039,-0.07380470598
"Chepstow Villas, Notting Hill",51.51363976,-0.1982623633
"Fulham Broadway, Walham Green",51.4808834,-0.1943493
"Battersea Park Road, Nine Elms",51.47729743,-0.1462100982
"Jubilee Crescent, Cubitt Town",51.49341557,-0.008094073967
"Northdown Street, King's Cross",51.533068,-0.120028
"Ram Street, Wandsworth",51.45740786,-0.1922655797
"Sackville Street, Mayfair",51.5095561,-0.13830705
"Lexham Gardens, Kensington",51.49622377,-0.1905220248
"Kennington Station, Kennington",51.4851539,-0.1135979458
"Clarkson Street, Bethnal Green",51.52937101,-0.05912532691
"LMU Commercial Road, Whitechapel",51.5149277,-0.0661794
"Great Percy Street, Clerkenwell",51.52988997,-0.1111271853
"Queen Street 2, Bank",51.5112255,-0.0929962
"Bricklayers Arms, Borough",51.4660771,-0.2167487097
"Bishop's Bridge Road West, Bayswater",51.5160924,-0.1873559
"Caldwell Street, Stockwell",51.47703231,-0.1159781954
"Old Montague Street, Whitechapel",51.51919898,-0.06468952992
"Stonecutter Street, Holborn",51.518275,-0.1154
"Stewart's Road, Wandsworth Road",51.4731113,-0.1372169
"Wenlock Road , Hoxton",51.53217333,-0.09464207784
"Knightsbridge, Hyde Park",51.513003,-0.1639248
"William Morris Way, Sands End",51.46856371,-0.1845874193
"Heath Road, Battersea",51.473195,-0.159157
"Buxton Street 1, Shoreditch",51.527853,-0.08341
"Tavistock Street, Covent Garden",51.51143288,-0.1217208657
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",51.5503768,-0.01523936351
"Heron Quays DLR, Canary Wharf",51.5061102,-0.0176241
"North Audley Street, Mayfair",51.51272636,-0.1532835052
"Gower Place , Euston",51.525644,-0.132666
"Lansdowne Way Bus Garage, Stockwell",51.474652,-0.12022
"Chesilton Road, Fulham",51.47680504,-0.2066603476
"Worship Street, Shoreditch",51.52164466,-0.07951489398
"All Saints Church, Portobello",51.3726544,-0.193193426
"Sheepcote Lane, Battersea",51.47039172,-0.158630472
"Queen Victoria Street, St. Paul's",51.5121187,-0.09505887119
"Parson's Green , Parson's Green",51.4794542,-0.1965977868
"Bayley Street , Bloomsbury",51.51886634,-0.1314806872
"Montserrat Road , Putney",51.46278779,-0.2136424574
"Braham Street, Aldgate",51.5141203,-0.0735754
"St Mary's Hospital, Westminster",51.5174403,-0.1743230873
Pop Up Dock 1,51.5911528,-0.1482079715
"Teversham Lane, Stockwell",51.47603567,-0.1236333958
"Red Lion Square, Holborn",51.51943047,-0.1187955511
"St. John's Wood Road, St. John's Wood",51.52881992,-0.1716509365
"Tyers Gate, Bermondsey",51.50095927,-0.08279360632
"Bankside Mix, Bankside",51.50579575,-0.1000715935
"Dock Street, Wapping",51.50981105,-0.068096368
"Lollard Street, Vauxhall",51.49280515,-0.1146816042
"Rathbone Street, Fitzrovia",51.51860128,-0.1357594923
"Coram Street, Bloomsbury",51.52413227,-0.1257879959
"Spanish Road, Clapham Junction",51.45876258,-0.1807020823
"Great Marlborough Street, Soho",51.51438328,-0.1388711251
"Hinde Street, Marylebone",51.51692885,-0.1514318585
"West Kensington Station, West Kensington",51.500958,-0.198964
"British Museum, Bloomsbury",51.51931175,-0.1267051248
"Copper Box Arena, Queen Elizabeth Olympic Park",51.5443061,-0.02006478731
"Soho Square , Soho",51.5152892,-0.1322103233
"Clifton Road, Maida Vale",51.52573561,-0.1790256799
"Preston's Road, Cubitt Town",51.499359,-0.009203
"Sopwith Way, Battersea Park",51.481839,-0.147898
"Walworth Road, Elephant & Castle",51.49329156,-0.09952327821
"Orbel Street, Battersea",51.47426108,-0.1712573619
"Mile End Stadium, Mile End",51.51902135,-0.03342071487
"Tate Modern, Bankside",51.5074293,-0.09934164883
"Belvedere Road 2, South Bank",51.5061103,-0.1146803
"Southerton Road, Hammersmith",51.49584701,-0.2285054864
